date,question,answer,category
2001-06-04,¿Qué fecha fue publicada la Ley de Fondos de Inversión?,El 4 de junio de 2001.,Fondos de Inversión
2001-06-04,¿Qué regula la Ley de Fondos de Inversión?,Regula la organización y funcionamiento de los fondos de inversión.,Fondos de Inversión
2001-06-04,¿Qué debe fomentar la aplicación de esta ley?,El desarrollo equilibrado y la diversificación del capital.,Fondos de Inversión
2001-06-04,¿Qué es un activo objeto de inversión?,Son valores títulos y documentos aplicables al régimen de la Ley del Mercado de Valores.,Fondos de Inversión
2001-06-04,¿Quién regula los fondos de inversión en México?,La Comisión Nacional Bancaria y de Valores.,Fondos de Inversión
2001-06-04,¿Cuál es el objetivo principal de los fondos de inversión?,Financiar la actividad productiva del país y proteger los intereses del público inversionista.,Fondos de Inversión
2001-06-04,¿Qué se entiende por control en esta ley?,La capacidad de imponer decisiones en el consejo de administración de una empresa.,Fondos de Inversión
2001-06-04,¿Qué es una cuenta global?,Es una cuenta administrada por sociedades operadoras de fondos de inversión para registrar operaciones de varios fondos.,Fondos de Inversión
2001-06-04,¿Qué es una empresa promovida?,Una sociedad que obtiene recursos para generar actividad económica.,Fondos de Inversión
2001-06-04,¿Qué es un evento relevante?,Un evento definido en la Ley del Mercado de Valores que puede afectar la operación de una empresa.,Fondos de Inversión
2001-06-04,¿Qué es un grupo de personas según esta ley?,Personas con acuerdos para tomar decisiones en conjunto.,Fondos de Inversión
2001-06-04,¿Qué se necesita para constituir un fondo de inversión?,Autorización previa de la Comisión Nacional Bancaria y de Valores.,Fondos de Inversión
2001-06-04,¿Cuáles son los tipos de fondos de inversión que establece la ley?,De renta variable instrumentos de deuda capitales y cobertura.,Fondos de Inversión
2001-06-04,¿Qué deben contener los prospectos de información de los fondos de inversión?,Políticas detalladas de inversión advertencias de riesgos y políticas de recompra de acciones.,Fondos de Inversión
2001-06-04,¿Qué es un fondo de inversión cerrado?,Un fondo que tiene prohibido recomprar sus acciones representativas.,Fondos de Inversión
2001-06-04,¿Cuál es el capital mínimo requerido para los fondos de inversión?,Depende de las disposiciones que la Comisión establezca.,Fondos de Inversión
2001-06-04,¿Qué derechos tienen los accionistas de la parte variable de los fondos?,Participar en ganancias exigir recompra de acciones y ejercer responsabilidad civil.,Fondos de Inversión
2001-06-04,¿Cuándo se requiere autorización para la fusión de fondos de inversión?,Siempre según las disposiciones de la Comisión Nacional Bancaria y de Valores.,Fondos de Inversión
2001-06-04,¿Qué operaciones pueden realizar los fondos de inversión?,Adquirir o enajenar activos objeto de inversión emitir valores y obtener préstamos entre otras.,Fondos de Inversión
2001-06-04,¿Dónde deben depositarse los valores inscritos en el Registro Nacional?,En una cuenta mantenida en una institución para el depósito de valores.,Fondos de Inversión
2001-06-04,¿Qué deben obtener los fondos de inversión según el artículo 17?,Una calificación otorgada por una institución calificadora de valores.,Fondos de Inversión
2001-06-04,¿Qué debe reflejar la calificación de un fondo de inversión?,Los riesgos de sus activos y la calidad de su administración.,Fondos de Inversión
2001-06-04,¿Qué está prohibido a los fondos de inversión según el artículo 18?,Operar fuera de las disposiciones legales y realizar actividades no autorizadas.,Fondos de Inversión
2001-06-04,¿Qué es un fondo de inversión de renta variable?,Un fondo que invierte en acciones con rendimientos fluctuantes.,Fondos de Inversión
2001-06-04,¿Qué es un fondo de inversión en instrumentos de deuda?,Un fondo que invierte en títulos de deuda como bonos.,Fondos de Inversión
2001-06-04,¿Qué significa que un fondo de inversión esté sujeto a supervisión?,Que debe cumplir las normativas impuestas por la Comisión.,Fondos de Inversión
2001-06-04,¿Qué sucede si un fondo de inversión cambia su nacionalidad?,Entra en estado de disolución y liquidación.,Fondos de Inversión
2001-06-04,¿Quién nombra al liquidador de un fondo de inversión en disolución?,La sociedad operadora del fondo o la Comisión según el caso.,Fondos de Inversión
2001-06-04,¿Cuáles son las excepciones para la disolución de un fondo de inversión?,No pueden transformarse en sociedades diferentes a fondos de inversión.,Fondos de Inversión
2001-06-04,¿Cuáles son los derechos preferenciales de los accionistas en un fondo de inversión?,Suscribir y recomprar acciones bajo condiciones especiales.,Fondos de Inversión
2001-06-04,¿Qué sucede en una escisión de un fondo de inversión?,El fondo divide su capital y activos entre varios fondos nuevos.,Fondos de Inversión
